Rating,Title,Console,Time(Optional)
1,Life is Strange,PC,11h4m8s
4,Super Metroid,SNES,5h49m
2,Felix the Cat,NES,1h14m1s
1,M&M's Shell Shocked,PSX,3h1m7s
2,Fallout 4,PC,49h
3,Metroid Fusion,GBA,3h25m
5,Hotline Miami 2,PC,4h49m15s
2,Borderlands 2,PC,19h42m
3,Amnesia: A Machine for Pigs,PC,3h9m36s
4,Metro 2033,PC,6h6m52s
3,Medal of Honor Heroes 2,PSP,
1,GUN,PC,3h12m32s
2,Donald Duck: Quack Attack,N64,
3,Fallout 3,PC,
3,Lords of the Fallen,PC,7h40m46s
2,Jak and Daxter,PS3,6h11m7s
2,Kuru Kuru Kururin,GBA,
2,Saints Row 2,PC,17h
1,Cat vs. Corgis,PC,2h21m30s
3,Death's Gambit,PC,8h54m49s
2,Tyranny,PC,18h25m
1,Brütal Legend,PC,
3,Nioh,PC,28h27m15s
5,Quake,PC,
3,Crash Bandicoot: Warped,PSX,3h4m5s
3,Bionic Commando,PC,3h45m23s
4,F.E.A.R,PC,4h41m2s
3,Quake II,PC,4h46m41
2,Ratchet & Clank: Going Commando (HD),PS3,9h36m54s
2,Mirror's Edge,PC,3h30m34s
2,Ty the Tasmanian Tiger,PC,6h27m10s
4,God of War,PS2,
2,The Simpsons: Hit & Run,GCN,8h3m57s
2,Shadow Bug,PC,2h23m42s
5,Shovel Knight,PC,
5,Cuphead,PC,8h49m8s
1,The Incredible Adventures of Van Helsing,PC,16h42m
3,Far Cry 3: Blood Dragon,PC,2h40m7s
4,Castlevania: Aria of Sorrow,GBA,6h36m37s
4,Max Payne,PC,4h10m9s
2,Portal Stories: Mel,PC,6h8m
4,God of War: Chains of Olympus,PSP,
4,Beyond Good & Evil,PC,8h38m36s
3,Rayman Origins,PC,6h15m45s
4,The Punisher,PC,6h52m46s
5,Bloodborne,PS4,16h54m19s
3,"Bioshock 2 ""Remastered""",PC,5h27m55s
5,BUTCHER,PC,
2,Serious Sam: The First Encounter,PC,7h
4,Grand Theft Auto V ,X360,
4,Titan Souls,PC,2h
3,Minit,PC,2h5m20s
3,Mass Effect 3,X360,
3,Shantae: Half-Genie Hero,PC,7h26m3s
4,Mega Man X,SNES,
3,Legend of Kay Anniversary,PC,10h12m
3,DUSK,PC,5h31m48s
2,Brothers: A Tale of Two Sons,PC,2h16m53s
3,RAGE,PC,6h46m10s
5,The Elder Scrolls IV: Oblivion,PC,
4,Hotline Miami,PC,
3,Nuclear Throne,PC,
2,Arvoesine,PC,
4,Quake 4,PC,4h47m1s
1,Shrek the Third,PSP,
3,The Darkness II,PC,3h19m2s
1,Ori and the Blind Forest,PC,6h54m
4,MediEvil,PSX,
2,LEGO: The Hobbit,PC,10h
3,Castlevania: Symphony of the Night,PSX,4h32m47s
4,The Witness,PC,20h16m13s
4,Castlevania,NES,
3,Wolfenstein: The New Order,PC,6h55m2s
4,Doom 4,PC,6h1m42s
4,Little Nightmares,PC,2h30m48s
4,Dishonored,PC,
4,Crash Team Racing,PSX,2h33m47s
3,The Messenger,PC,9h10m34s
2,Shadow Warrior (2013),PC,8h36m
4,METAL GEAR RISING: REVENGEANCE,PC,8h51m13s
1,Ryse: Son of Rome,PC,5h18m
2,Hard Reset,PC,4h37m55s
1,Serious Sam 2,PC,10h16m36s
3,Loom,DOS,2h23m27s
2,Ratchet & Clank (HD),PS3,9h15m1s
2,Half-Life 2: Episode One,PC,2h13m17s
3,Banjo-Kazooie,N64,12h14m40s
4,Fable 3,X360,
5,RUINER,PC,3h32m13s
3,Lovely Planet,PC,
2,Chameleon Twist 2,N64,3h4m11s
3,Firewatch,PC,3h20m22s
3,Super Mario Advance 2,GBA,19m25s
3,Half-Life,PC,
2,Hitman: Absolution,PC,9h18m
3,Odallus: The Dark Call,PC,5h2m35s
3,Half-Life: Opposing Force,PC,2h43m5s
4,Baldur's Gate II,PC,34h36m31s
1,Refunct,PC,
4,Spyro 2: Ripto's Rage,PSX,7h59m43s
4,Kingdom Hearts II,PS2,25h34m28s
1,Marlow Briggs and the Mask of Death,PC,5h54m
1,Homefront,PC,3h9m20s
5,Red Dead Redemption,X360,
4,Jotun,PC,
1,Saints Row IV,PC,15h
3,Sniper Elite,PC,7h10m9s
3,Fallout: New Vegas,PC,28h20m47s
3,Half-Life 2,PC,8h36m
3,Jet Set Radio,PC,5h2m23s
1,Spec Ops: The Line,PC,4h11m47s
4,Fable 2,X360,
3,Dead Space,PC,7h50m42s
3,Glover,N64,5h47m27s
2,F.E.A.R 2,PC,
1,Giana Sisters: Twisted Dreams,PC,4h23m31s
5,Dark Souls III,PC,
3,Kirby's Dream Land,GB/GBC,33m3s
3,A Story About My Uncle,PC,1h41m52s
3,Bioshock: Infinite,PC,5h15m26s
4,Katamari Damacy,PS2,4h42m58s
3,Far Cry 2,PC,13h10m28s
4,The Legend of Zelda: Twilight Princess,GCN,22h50m
4,STAR WARS Jedi Knight: Jedi Academy,PC,8h1m10s
3,Castlevania: Circle of the Moon,GBA,7h24m38s
4,The Witcher 2,PC,23h
3,Demon's Crest ,SNES,1h41m32s
3,Slain: Back from Hell,PC,
3,Mario Kart: Double Dash!!,GCN,
3,South Park: The Stick of Truth,PC,11h24m
4,Outlast II,PC,5h5m33s
2,Spectraball,PC,
1,Alien VS Predator,SNES,
5,Hyper Light Drifter,PC,
1,Chameleon Twist,N64,1h22m34s
2,Lucius II,PC,3h57m49s
